Sample_Index,Mic_Left,Mic_Right
193,-226,-226
194,-206,-206
195,-176,-176
196,-137,-137
197,-125,-125
198,-70,-70
199,-64,-64
200,-1,-1
201,45,45
202,73,73
203,92,92
204,128,128
205,172,172
206,210,210
207,210,210
208,256,256
209,226,226
210,243,243
211,227,227
212,226,226
213,242,242
214,200,200
215,145,145
216,119,119
217,96,96
218,51,51
219,14,14
220,2,2
221,-53,-53
222,-80,-80
223,-137,-137
224,-131,-131
225,-169,-169
226,-196,-196
227,-206,-206
228,-237,-237
229,-237,-237
230,-237,-237
231,-269,-269
232,-234,-234
233,-220,-220
234,-203,-203
235,-183,-183
236,-119,-119
237,-109,-109
238,-89,-89
239,-35,-35
240,17,17
241,57,57
242,59,59
243,109,109
244,97,97
245,176,176
246,184,184
247,208,208
248,220,220
249,206,206
250,227,227
251,257,257
252,254,254
253,234,234
254,207,207
255,171,171
256,151,151
257,102,102
258,84,84
259,16,16
260,22,22
261,-30,-30
262,-42,-42
263,-110,-110
264,-164,-164
265,-192,-192
266,-190,-190
267,-207,-207
268,-263,-263
269,-231,-231
270,-236,-236
271,-255,-255
272,-226,-226
273,-213,-213
274,-192,-192
275,-184,-184
276,-153,-153
277,-101,-101
278,-71,-71
279,-41,-41
280,12,12
281,70,70
282,100,100
283,101,101
284,147,147
285,185,185
286,220,220
287,205,205
288,254,254
289,239,239
290,230,230
291,262,262
292,239,239
293,245,245
294,228,228
295,177,177
296,131,131
297,90,90
298,121,121
299,-1,-1
300,-5,-5
301,-71,-71
302,-77,-77
303,-113,-113
304,-140,-140
305,-221,-221
306,-219,-219
307,-223,-223
308,-264,-264
309,-234,-234
310,-255,-255
311,-235,-235
312,-237,-237
313,-229,-229
314,-207,-207
315,-154,-154
316,-163,-163
317,-102,-102
318,-74,-74
319,-36,-36
320,-16,-16
321,36,36
322,98,98
323,107,107
324,158,158
325,162,162
326,196,196
327,227,227
328,216,216
329,268,268
330,251,251
331,244,244
332,243,243
333,229,229
334,185,185
335,181,181
336,134,134
337,114,114
338,82,82
339,23,23
340,3,3
341,-13,-13
342,-79,-79
343,-114,-114
344,-173,-173
345,-172,-172
346,-202,-202
347,-220,-220
348,-241,-241
349,-253,-253
350,-238,-238
351,-214,-214
352,-213,-213
353,-229,-229
354,-197,-197
355,-171,-171
356,-164,-164
357,-105,-105
358,-101,-101
359,-48,-48
360,-20,-20
361,72,72
362,46,46
363,126,126
364,162,162
365,149,149
366,194,194
367,221,221
368,230,230
369,214,214
370,223,223
371,267,267
372,240,240
373,234,234
374,192,192
375,190,190
376,151,151
377,122,122
378,75,75
379,26,26
380,-2,-2
381,-44,-44
382,-80,-80
383,-82,-82
384,-151,-151
385,-154,-154
386,-192,-192
387,-220,-220
388,-231,-231
389,-236,-236
390,-244,-244
391,-207,-207
392,-225,-225
393,-199,-199
394,-210,-210
395,-175,-175
396,-121,-121
397,-106,-106
398,-67,-67
399,-34,-34
400,3,3
401,38,38
402,49,49
403,134,134
404,162,162
405,184,184
406,167,167
407,216,216
408,214,214
409,245,245
410,249,249
411,220,220
412,222,222
413,227,227
414,212,212
415,187,187
416,126,126
417,104,104
418,79,79
419,24,24
420,-34,-34
421,-55,-55
422,-64,-64
423,-134,-134
424,-118,-118
425,-174,-174
426,-181,-181
427,-232,-232
428,-208,-208
429,-285,-285
430,-257,-257
431,-242,-242
432,-230,-230
433,-224,-224
434,-207,-207
435,-180,-180
436,-162,-162
437,-90,-90
438,-93,-93
439,-15,-15
440,-9,-9
441,48,48
442,87,87
443,89,89
444,127,127
445,215,215
446,222,222
447,189,189
448,267,267
449,280,280
450,260,260
451,261,261
452,284,284
453,214,214
454,178,178
455,179,179
456,151,151
457,99,99
458,75,75
459,59,59
460,16,16
461,-60,-60
462,-63,-63
463,-105,-105
464,-137,-137
465,-146,-146
466,-181,-181
467,-197,-197
468,-264,-264
469,-275,-275
470,-243,-243
471,-260,-260
472,-272,-272
473,-224,-224
474,-243,-243
475,-170,-170
476,-119,-119
477,-104,-104
478,-75,-75
479,-66,-66
480,0,0
481,14,14
482,59,59
483,103,103
484,117,117
485,205,205
486,178,178
487,229,229
488,249,249
489,226,226
490,248,248
491,245,245
492,254,254
493,253,253
494,190,190
495,200,200
496,147,147
497,115,115
498,71,71
499,22,22
